CMIP6 Compund Name       CF Standard Name                                                                                                              Physical Parameter Title                                                                                                                             Description
Emon.sw17O               isotope_ratio_of_17O_to_16O_in_sea_water_excluding_solutes_and_solids                                                         sw17O              Isotopic Ratio of Oxygen-17 in Sea Water                                                                                          Ratio of abundance of oxygen-17 (17O) atoms to oxygen-16 (16O) atoms in sea water
Emon.sw18O               isotope_ratio_of_18O_to_16O_in_sea_water_excluding_solutes_and_solids                                                         sw18O              Isotopic Ratio of Oxygen-18 in Sea Water                                                                                          Ratio of abundance of oxygen-18 (18O) atoms to oxygen-16 (16O) atoms in sea water
Emon.sw2H                isotope_ratio_of_2H_to_1H_in_sea_water_excluding_solutes_and_solids                                                           sw2H               Isotopic Ratio of Deuterium in Sea Water                                                                                          Ratio of abundance of hydrogen-2 (2H) atoms to hydrogen-1 (1H) atoms in sea water
Emon.t17d                depth_of_isosurface_of_sea_water_potential_temperature                                                                        t17d               Depth of 17 degree Celsius Isotherm                                                                                               Monthly 17C isotherm depth
Emon.t20d                depth_of_isosurface_of_sea_water_potential_temperature                                                                        t20d               Depth of 20 degree Celsius Isotherm                                                                                               Monthly 20C isotherm depth
Emon.thetaot             sea_water_potential_temperature                                                                                               thetaot            Vertically Averaged Sea Water Potential Temperature                                                                               Vertically averaged ocean temperature
Emon.thetaot2000         sea_water_potential_temperature                                                                                               thetaot2000        Depth Average Potential Temperature of Upper 2000m                                                                                Upper 2000m, 2D field
Emon.thetaot300          sea_water_potential_temperature                                                                                               thetaot300         Depth Average Potential Temperature of Upper 300m                                                                                 Upper 300m, 2D field
Emon.thetaot700          sea_water_potential_temperature                                                                                               thetaot700         Depth Average Potential Temperature of Upper 700m                                                                                 Upper 700m, 2D field
Eyr.zfullo               depth_below_geoid                                                                                                             zfullo             Depth Below Geoid of Ocean Layer                                                                                                  Depth below geoid
Oday.bigthetao200        sea_water_conservative_temperature                                                                                            bigthetao          Sea Water Conservative Temperature at 200 meters                                                                                  Diagnostic should be contributed even for models using conservative temperature as prognostic field.
Oday.chl200              mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water                                                     chl                Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water at 200 meters                                     Sum of chlorophyll from all phytoplankton group concentrations. In most models this is equal to chldiat+chlmisc, that is the sum of Diatom Chlorophyll Mass Concentration and Other Phytoplankton Chlorophyll Mass Concentration
Oday.chlos               mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water                                                     chlos              Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water                                           sum of chlorophyll from all phytoplankton group concentrations at the sea surface.  In most models this is equal to chldiat+chlmisc, that is the sum of "Diatom Chlorophyll Mass Concentration" plus "Other Phytoplankton Chlorophyll Mass Concentration"
Oday.co3200              mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water                                                              co3                Carbonate Ion Concentration                                                                                                       Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).
Oday.co3os               mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water                                                              co3os              Surface Carbonate Ion Concentration                                                                                               Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).
Oday.co3satarag200       mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water                           co3satarag         Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water                                               Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.
Oday.co3sataragos        mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water                           co3sataragos       Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water                                       Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.
Oday.detoc               mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water                                                       detoc              Detrital Organic Carbon Concentration                                                                                             sum of detrital organic carbon component concentrations
Oday.dissoc              mole_concentration_of_dissolved_organic_carbon_in_sea_water                                                                   dissoc             Dissolved Organic Carbon Concentration                                                                                            Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit)
Oday.expcob              sinking_mole_flux_at_sea_floor_of_particulate_organic_matter_expressed_as_carbon_in_sea_water                                 expcob             Sinking Flux of Particulate Organic Carbon Reaching the Ocean Bottom                                                              Downward sinking flux of particulate organic carbon at sea floor. Reported at the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells.
Oday.hfxint              ocean_heat_x_transport                                                                                                        hfx                Vertically Integrated Ocean Heat X Transport                                                                                      Ocean heat x transport vertically integrated over the whole ocean depth. Contains all contributions to 'x-ward' heat transport from resolved and parameterized processes. Use Celsius for temperature scale. Report on native horizontal grid.
Oday.hfyint              ocean_heat_y_transport                                                                                                        hfy                Vertically Integrated Ocean Heat Y Transport                                                                                      Ocean heat y transport vertically integrated over the whole ocean depth. Contains all contributions to 'y-ward' heat transport from resolved and parameterized processes. Use Celsius for temperature scale. Report on native horizontal grid.
Oday.intpoc              ocean_mass_content_of_particulate_organic_matter_expressed_as_carbon                                                          intpoc             Particulate Organic Carbon Content                                                                                                Vertically integrated POC
Oday.intpp               net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton                                                 intpp              Primary Organic Carbon Production by All Types of Phytoplankton                                                                   Vertically integrated total primary (organic carbon) production by phytoplankton. This should equal the sum of intpdiat+intpphymisc, but those individual components may be unavailable in some models.
Oday.o2200               mole_concentration_of_dissolved_molecular_oxygen_in_sea_water                                                                 o2                 Dissolved Oxygen Concentration at 200 meters                                                                                      'Mole concentration' means number of moles per unit volume, also called "molarity", and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox\_expressed\_as\_nitrogen'.
Oday.o2min               mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile                 o2min              Oxygen Minimum Concentration                                                                                                      mole concentration of oxygen at the local minimum in the concentration profile that occurs closest to the sea surface.
Oday.o2os                mole_concentration_of_dissolved_molecular_oxygen_in_sea_water                                                                 o2os               Surface Dissolved Oxygen Concentration                                                                                            Near surface 'Mole concentration' means number of moles per unit volume, also called "molarity", and is used in the construction mole\_concentration\_of\_X\_in\_Y, where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox\_expressed\_as\_nitrogen'. The chemical formula for molecular oxygen is O2.
Oday.ph200               sea_water_ph_reported_on_total_scale                                                                                          ph                 pH                                                                                                                                negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.
Oday.phos                sea_water_ph_reported_on_total_scale                                                                                          phos               Surface pH                                                                                                                        Near surface negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.
Oday.phyc200             mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water                                                          phyc               Phytoplankton Carbon Concentration                                                                                                sum of phytoplankton carbon component concentrations. In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., "Diatom Carbon Concentration" and "Non-Diatom Phytoplankton Carbon Concentration"
Oday.phycalc             mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water                                               phycalc            Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water                                                   Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water
Oday.phycos              mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water                                                          phycos             Sea Surface Phytoplankton Carbon Concentration                                                                                    sum of phytoplankton organic carbon component concentrations at the sea surface
Oday.phydiatos           mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water                                                                phydiatos          Surface concentration of diatoms                                                                                                  Mole Concentration of Diatoms Expressed as Carbon in Sea Water
Oday.phydiazos           mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water                                             phydiazos          Surface concentration of diazotrophs                                                                                              Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water
Oday.phymiscos           mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water                                            phymiscos          Surface concentration of miscellaneous phytoplankton                                                                              Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water
Oday.phynano             mole_concentration_of_nanophytoplankton_expressed_as_carbon_in_sea_water                                                      phynano            Mole Concentration of Nanophytoplankton Expressed as Carbon in Sea Water                                                          Mole Concentration of Nanophytoplankton Expressed as Carbon in Sea Water
Oday.phypico             mole_concentration_of_picophytoplankton_expressed_as_carbon_in_sea_water                                                      phypico            Carbon concentration of picophytoplankton                                                                                         Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water
