CMIP6 Compund Name       CF Standard Name                                                                              Physical Parameter Title                                                                 Description
SImon.sidmassgrowthwat   tendency_of_sea_ice_amount_due_to_frazil_ice_accumulation_in_leads                            sidmassgrowthwat   Sea-Ice Mass Change Through Growth in Supercooled Open Water (Frazil) Rate of change of sea-ice mass due to sea ice formation in supercooled water (often through frazil formation) divided by grid-cell area. Always positive or zero.
SImon.sidmassmeltbot     tendency_of_sea_ice_amount_due_to_basal_melting                                               sidmassmeltbot     Sea-Ice Mass Change Through Bottom Melting                            Rate of change of sea-ice mass through melting/dissolution at the ice bottom divided by grid-cell area. Note that this number is always zero or negative since sea-ice growth is collected in sidmassgrowthbot. This is to account for differential growth and melt in models with a sub-grid scale ice thickness distribution.
SImon.sidmassmeltlat     tendency_of_sea_ice_amount_due_to_lateral_melting                                             sidmassmeltlat     Sea-Ice Mass Change Through Lateral Melting                           Rate of change of sea-ice mass through lateral melting/dissolution divided by grid-cell area (report zero if not explicitly calculated thermodynamically). Always negative or zero.
SImon.sidmassmelttop     tendency_of_sea_ice_amount_due_to_surface_melting                                             sidmassmelttop     Sea-Ice Mass Change Through Surface Melting                           Rate of change of sea-ice mass through melting at the ice surface divided by grid-cell area. This number is independent of the actual fate of the meltwater, and will hence include all sea-ice meltwater that drains into the ocean and all sea-ice meltwater that is collected by a melt-pond parameterisation. Always negative or zero.
SImon.sidmassth          tendency_of_sea_ice_amount_due_to_sea_ice_thermodynamics                                      sidmassth          Sea-Ice Mass Change from Thermodynamics                               Total rate of change in sea-ice mass from thermodynamic processes divided by grid-cell area.
SImon.sidmasstranx       sea_ice_x_transport                                                                           sidmasstranx       X-Component of Sea-Ice Mass Transport                                 X-component of the sea-ice drift-induced transport of snow and sea ice mass.
SImon.sidmasstrany       sea_ice_y_transport                                                                           sidmasstrany       Y-Component of Sea-Ice Mass Transport                                 Y-component of the sea-ice drift-induced transport of snow and sea ice mass.
SImon.sidragbot          sea_ice_basal_drag_coefficient_for_momentum_in_sea_water                                      sidragbot          Ocean Drag Coefficient                                                Oceanic drag coefficient that is used to calculate the oceanic momentum drag on sea ice.
SImon.sidragtop          surface_drag_coefficient_for_momentum_in_air                                                  sidragtop          Atmospheric Drag Coefficient                                          Atmospheric drag coefficient that is used to calculate the atmospheric momentum drag on sea ice.
SImon.siextentn          sea_ice_extent                                                                                siextentn          Sea-Ice Extent North                                                  Total integrated area of all Northern Hemisphere grid cells that are covered by at least 15% areal fraction of sea ice (siconc >= 15). Does not include grid cells partially covered by land.
SImon.siextents          sea_ice_extent                                                                                siextents          Sea-Ice Extent South                                                  Total integrated area of all Southern Hemisphere grid cells that are covered by at least 15% areal fraction of sea ice (siconc >= 15). Does not include grid cells partially covered by land.
SImon.sifb               sea_ice_freeboard                                                                             sifb               Sea-Ice Freeboard                                                     Mean height of sea-ice surface (i.e. snow-ice interface when snow covered) above sea level. This follows the classical definition of freeboard for in situ observations. In the satellite community, sometimes the total height of sea ice and snow above sea level is referred to as freeboard. This can easily be calculated by adding sisnthick to sifb.
SImon.siflcondbot        basal_downward_heat_flux_in_sea_ice                                                           siflcondbot        Net Conductive Heat Flux in Sea Ice at the Base                       Net heat conduction flux at the ice base, i.e. the conductive heat flux from the centre of the lowermost vertical sea-ice grid box to the base of the sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SImon.siflcondtop        surface_downward_heat_flux_in_sea_ice                                                         siflcondtop        Net Conductive Heat Flux in Sea Ice at the Surface                    Net heat conduction flux at the ice surface, i.e. the conductive heat flux from the centre of the uppermost vertical sea-ice grid box to the surface of the sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SImon.siflfwbot          water_flux_into_sea_water_due_to_sea_ice_thermodynamics                                       siflfwbot          Freshwater Flux from Sea Ice                                          Total flux of fresh water from water into sea ice. This flux is positive when fresh water enters the ocean, and is therefore negative during ice growth and positive during ice melt.
SImon.siflfwdrain        water_flux_into_sea_water_due_to_surface_drainage                                             siflfwdrain        Freshwater Flux from Sea-Ice Surface                                  Total flux of fresh water from sea-ice surface into underlying ocean. This combines both surface meltwater that drains directly into the ocean and the drainage of surface melt ponds. By definition, this flux is always positive.
SImon.sifllattop         surface_downward_latent_heat_flux                                                             sifllattop         Net Latent Heat Flux over Sea Ice                                     Net latent heat flux over sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SImon.sifllwdtop         surface_downwelling_longwave_flux_in_air                                                      sifllwdtop         Downwelling Longwave Flux over Sea Ice                                Downwelling longwave flux from the atmosphere to the sea-ice surface (energy flow per sea ice area). Always positive or zero.
SImon.sifllwutop         surface_upwelling_longwave_flux_in_air                                                        sifllwutop         Upwelling Longwave Flux over Sea Ice                                  Upward longwave flux from the sea-ice surface to the atmosphere (energy flow per sea ice area). Always positive or zero.
SImon.siflsaltbot        downward_sea_ice_basal_salt_flux                                                              siflsaltbot        Salt Flux from Sea Ice                                                Total flux of salt from water into sea ice. This flux is upward (negative) during ice growth when salt is embedded into the ice and downward (positive) during melt when salt from sea ice is again released to the ocean.
SImon.siflsensbot        upward_sea_ice_basal_heat_flux                                                                siflsensbot        Net Upward Sensible Heat Flux under Sea Ice                           Net sensible heat flux under sea ice from or to the ocean (energy flow per sea ice area). Per sign convention, heat from the ocean is counted as negative since it describes an upward heat flux.
SImon.siflsenstop        surface_downward_sensible_heat_flux                                                           siflsenstop        Net Downward Sensible Heat Flux over Sea Ice                          Net sensible heat flux over sea ice (energy flow per sea ice area). Positive for a downward heat flux.
SImon.siflswdbot         downwelling_shortwave_flux_in_sea_water_at_sea_ice_base                                       siflswdbot         Downwelling Shortwave Flux under Sea Ice                              Downwelling shortwave flux underneath sea ice, i.e. the amount of shortwave radiation that penetrates the sea ice and reaches the sea ice-ocean interface (energy flow per sea ice area). Always positive or zero.
SImon.siflswdtop         surface_downwelling_shortwave_flux_in_air                                                     siflswdtop         Downwelling Shortwave Flux over Sea Ice                               Downwelling shortwave flux from the atmosphere to the sea-ice surface (energy flow per sea ice area). Always positive or zero.
SImon.siflswutop         surface_upwelling_shortwave_flux_in_air                                                       siflswutop         Upwelling Shortwave Flux over Sea Ice                                 Upward shortwave flux from the sea-ice surface to the atmosphere (energy flow per sea ice area). Always positive or zero.
SImon.siforcecoriolx     sea_ice_x_force_per_unit_area_due_to_coriolis_effect                                          siforcecoriolx     Coriolis Force Term in Force Balance (X-Component)                    X-component of the force on sea ice caused by the Coriolis force divided by grid-cell area.
SImon.siforcecorioly     sea_ice_y_force_per_unit_area_due_to_coriolis_effect                                          siforcecorioly     Coriolis Force Term in Force Balance (Y-Component)                    Y-component of the force on sea ice caused by the Coriolis force divided by grid-cell area.
SImon.siforceintstrx     sea_ice_x_internal_stress                                                                     siforceintstrx     Internal Stress Term in Force Balance (X-Component)                   X-component of the force on sea ice caused by internal stress (divergence of sigma) divided by grid-cell area.
SImon.siforceintstry     sea_ice_y_internal_stress                                                                     siforceintstry     Internal Stress Term in Force Balance (Y-Component)                   Y-component of the force on sea ice caused by internal stress (divergence of sigma) divided by grid-cell area.
SImon.siforcetiltx       sea_ice_x_force_per_unit_area_due_to_sea_surface_tilt                                         siforcetiltx       Sea-Surface Tilt Term in Force Balance (X-Component)                  X-component of the force on sea ice caused by sea-surface tilt divided by grid-cell area.
SImon.siforcetilty       sea_ice_y_force_per_unit_area_due_to_sea_surface_tilt                                         siforcetilty       Sea-Surface Tilt Term in Force Balance (Y-Component)                  Y-component of the force on sea ice caused by sea-surface tilt divided by grid-cell area.
