CMIP6 Compund Name,CF Standard Name,Physical Parameter,Units,Title,Description
Emon.nLeaf,leaf_mass_content_of_nitrogen,nLeaf,kg m-2,Nitrogen Mass in Leaves,"""Content"" indicates a quantity per unit area."
Emon.nLitter,litter_mass_content_of_nitrogen,nLitter,kg m-2,Nitrogen Mass in Litter Pool,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
Emon.nLitterCwd,wood_debris_mass_content_of_nitrogen,nLitterCwd,kg m-2,Nitrogen Mass in Coarse Woody Debris,"""Content"" indicates a quantity per unit area. ""Wood debris"" means dead organic matter composed of coarse wood. It is distinct from fine litter. The precise distinction between ""fine"" and ""coarse"" is model dependent. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."
Emon.nLitterSubSurf,subsurface_litter_mass_content_of_nitrogen,nLitterSubSurf,kg m-2,Nitrogen Mass in Below-Ground Litter (non CWD),"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Subsurface litter"" means the part of the litter mixed within the soil below the surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."
Emon.nLitterSurf,surface_litter_mass_content_of_nitrogen,nLitterSurf,kg m-2,Nitrogen Mass in Above-Ground Litter (non CWD),"""Content"" indicates a quantity per unit area. ""Litter"" is dead plant material in or above the soil. It is distinct from coarse wood debris. The precise distinction between ""fine"" and ""coarse"" is model dependent. ""Surface litter"" means the part of the litter resting above the soil surface. The sum of the quantities with standard names wood_debris_mass_content_of_nitrogen, surface_litter_mass_content_of_nitrogen and subsurface_litter_mass_content_of_nitrogen is the total nitrogen mass content of dead plant material."
Emon.nMineral,soil_mass_content_of_inorganic_nitrogen_expressed_as_nitrogen,nMineral,kg m-2,Mineral Nitrogen in the Soil,"SUM of ammonium, nitrite, nitrate, etc over all soil layers"
Emon.nMineralNH4,soil_mass_content_of_inorganic_ammonium_expressed_as_nitrogen,nMineralNH4,kg m-2,Mineral Ammonium in the Soil,SUM of ammonium over all soil layers
Emon.nMineralNO3,soil_mass_content_of_inorganic_nitrate_expressed_as_nitrogen,nMineralNO3,kg m-2,Mineral Nitrate in the Soil,SUM of nitrate over all soil layers
Emon.nOther,miscellaneous_living_matter_mass_content_of_nitrogen,nOther,kg m-2,"Nitrogen Mass in Vegetation Components Other than Leaves, Stem and Root","E.g. fruits, seeds, etc."
Emon.nProduct,nitrogen_mass_content_of_forestry_and_agricultural_products,nProduct,kg m-2,Nitrogen Mass in Products of Land-Use Change,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
Emon.nRoot,root_mass_content_of_nitrogen,nRoot,kg m-2,Nitrogen Mass in Roots,including fine and coarse roots.
Emon.nSoil,soil_mass_content_of_nitrogen,nSoil,kg m-2,Nitrogen Mass in Soil Pool,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
Emon.nStem,stem_mass_content_of_nitrogen,nStem,kg m-2,Nitrogen Mass in Stem,including sapwood and hardwood.
Emon.nVeg,vegetation_mass_content_of_nitrogen,nVeg,kg m-2,Nitrogen Mass in Vegetation,Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
Emon.nbpLut,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes,nbpLut,kg m-2 s-1,Net Carbon Mass Flux into Land-Use Tile [kgC m-2 s-1],"Computed as npp minus heterotrophic respiration minus fire minus C leaching minus harvesting/clearing. Positive rate is into the land, negative rate is from the land.  Do not include fluxes from anthropogenic product pools to atmosphere"
Emon.nep,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change,nep,kg m-2 s-1,Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1],Net Ecosystem Exchange
Emon.netAtmosLandC13Flux,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_all_land_processes,netAtmosLandC13Flux,kg m-2 s-1,Net Mass Flux of 13C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],"Flux of carbon 31as carbon dioxide into the land. This flux should be reproducible by differencing the sum of all carbon pools (cVeg, cLitter, cSoil, and cProducts or equivalently cLand) from one time step to the next, except in the case of lateral transfer of carbon due to harvest, riverine transport of dissolved organic and/or inorganic carbon, or any other process (in which case the lateral_carbon_transfer_over_land term, see below, will be zero data).-"
Emon.netAtmosLandC14Flux,surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_all_land_processes,netAtmosLandC14Flux,kg m-2 s-1,Net Mass Flux of 14C Between Atmosphere and Land (Positive into Land) as a Result of All Processes [kgC m-2 s-1],"Flux of carbon-14 as carbon dioxide into the land. This flux should be reproducible by differencing the sum of all carbon pools (cVeg, cLitter, cSoil, and cProducts or equivalently cLand) from one time step to the next, except in the case of lateral transfer of carbon due to harvest, riverine transport of dissolved organic and/or inorganic carbon, or any other process (in which case the lateral_carbon_transfer_over_land term, see below, will be zero data)."
Emon.nppGrass,net_primary_productivity_of_biomass_expressed_as_carbon,nppGrass,kg m-2 s-1,Net Primary Production on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],Total NPP of grass in the grid cell
Emon.nppLut,net_primary_productivity_of_biomass_expressed_as_carbon,nppLut,kg m-2 s-1,Net Primary Production on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
Emon.nppOther,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_miscellaneous_living_matter,nppOther,kg m-2 s-1,Net Primary Production Allocated to Other Pools (not Leaves Stem or Roots) as Carbon Mass Flux [kgC m-2 s-1],added for completeness with npp_root
Emon.nppShrub,net_primary_productivity_of_biomass_expressed_as_carbon,nppShrub,kg m-2 s-1,Net Primary Production on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],Total NPP of shrubs in the grid cell
Emon.nppStem,net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_stems,nppStem,kg m-2 s-1,Net Primary Production Allocated to Stem as Carbon Mass Flux [kgC m-2 s-1],added for completeness with npp_root
Emon.nppTree,net_primary_productivity_of_biomass_expressed_as_carbon,nppTree,kg m-2 s-1,Net Primary Production on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],Total NPP of trees in the grid cell
Emon.pastureFracC3,area_fraction,pastureFracC3,%,C3 Pasture Area Percentage,Percentage of entire grid cell covered by C3 pasture
Emon.pastureFracC4,area_fraction,pastureFracC4,%,C4 Pasture Area Percentage,Percentage of entire grid cell covered by C4 pasture
Emon.raGrass,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,raGrass,kg m-2 s-1,Autotrophic Respiration on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],Total RA of grass in the grid cell
Emon.raLeaf,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_leaves,raLeaf,kg m-2 s-1,Total Respiration from Leaves as Carbon Mass Flux [kgC m-2 s-1],added for completeness with Ra_root
Emon.raLut,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,raLut,kg m-2 s-1,Autotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]. Calculated on land-use tiles.
Emon.raOther,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_miscellaneous_living_matter,raOther,kg m-2 s-1,Total Respiration from Other Pools (not Leaves Stem or Roots) as Carbon Mass Flux [kgC m-2 s-1],added for completeness with Ra_root
Emon.raRoot,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_roots,raRoot,kg m-2 s-1,Total Respiration from Roots as Carbon Mass Flux [kgC m-2 s-1],Total autotrophic respiration from all belowground plant parts.  This has benchmarking value because the sum of Rh and root respiration can be compared to observations of total soil respiration.
Emon.raShrub,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,raShrub,kg m-2 s-1,Autotrophic Respiration on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],Total RA of shrubs in the grid cell
Emon.raStem,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_stems,raStem,kg m-2 s-1,Total Respiration from Stem as Carbon Mass Flux [kgC m-2 s-1],added for completeness with Ra_root
Emon.raTree,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,raTree,kg m-2 s-1,Autotrophic Respiration on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],Total RA of trees in the grid cell
Emon.rac13,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_plant_respiration,rac13,kg m-2 s-1,Carbon-13 Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],Flux of carbon-13 into the atmosphere due to plant respiration. Plant respiration is the sum of respiration by parts of plants both above and below the soil. It is assumed that all the respired carbon dioxide is emitted to the atmosphere.
Emon.rac14,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_plant_respiration,rac14,kg m-2 s-1,Carbon-14 Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],Flux of carbon-14 into the atmosphere due to plant respiration. Plant respiration is the sum of respiration by parts of plants both above and below the soil. It is assumed that all the respired carbon dioxide is emitted to the atmosphere.
Emon.rhGrass,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,rhGrass,kg m-2 s-1,Heterotrophic Respiration on Grass Tiles as Carbon Mass Flux [kgC m-2 s-1],Total RH of grass in the grid cell
Emon.rhLitter,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_litter,rhLitter,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Litter on Land,Needed to calculate litter bulk turnover time. Includes respiration from CWD as well.
Emon.rhLut,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,rhLut,kg m-2 s-1,Heterotrophic Respiration on Land-Use Tile as Carbon Mass Flux [kgC m-2 s-1],"Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers), calculated on land-use tiles."
Emon.rhShrub,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,rhShrub,kg m-2 s-1,Heterotrophic Respiration on Shrub Tiles as Carbon Mass Flux [kgC m-2 s-1],Total RH of shrubs in the grid cell
Emon.rhSoil,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_soil,rhSoil,kg m-2 s-1,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land,Needed to calculate soil bulk turnover time
Emon.rhTree,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,rhTree,kg m-2 s-1,Heterotrophic Respiration on Tree Tiles as Carbon Mass Flux [kgC m-2 s-1],Total RH of trees in the grid cell
Emon.rhc13,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_13C_due_to_heterotrophic_respiration,rhc13,kg m-2 s-1,Carbon-13 Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kgC m-2 s-1],"Heterotrophic respiration is respiration by heterotrophs (""consumers""), which are organisms (including animals and decomposers) that consume other organisms or dead organic material, rather than synthesising organic material from inorganic precursors using energy from the environment (especially sunlight) as autotrophs (""producers"") do. Heterotrophic respiration goes on within both the soil and litter pools."
Emon.rhc14,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_14C_due_to_heterotrophic_respiration,rhc14,kg m-2 s-1,Carbon-14 Mass Flux into Atmosphere Due to Heterotrophic Respiration on Land [kgC m-2 s-1],"Heterotrophic respiration is respiration by heterotrophs (""consumers""), which are organisms (including animals and decomposers) that consume other organisms or dead organic material, rather than synthesising organic material from inorganic precursors using energy from the environment (especially sunlight) as autotrophs (""producers"") do. Heterotrophic respiration goes on within both the soil and litter pools."
Emon.rsds,surface_downwelling_shortwave_flux_in_air,rsds,W m-2,Surface Downwelling Shortwave Radiation over Land,Surface Downwelling Shortwave Radiation over land. Can be used for computation of surface albedo.
Emon.rsdss,surface_downwelling_shortwave_flux_in_air,rsdss,W m-2,Surface Downwelling Shortwave Radiation over Snow,Surface Downwelling Shortwave Radiation over the portion of a land grid cell covered by snow but not by ice. Can be used for computation of surface albedo.
Emon.rsus,surface_upwelling_shortwave_flux_in_air,rsus,W m-2,Surface Upwelling Shortwave Radiation over Land,Surface Upwelling Shortwave Radiation over land. Can be used for computation of surface albedo.
Emon.rsuss,surface_upwelling_shortwave_flux_in_air,rsuss,W m-2,Surface Upwelling Shortwave Radiation over Snow,Surface Upwelling Shortwave Radiation over the portion of a land grid cell covered by snow. Can be used for computation of surface albedo.
